1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139
1;105;55;8;14;17;32;15;2;50;6;11;2;34;12;19;0;3;0;8;18;0;6;3;41;9;9;0;27;5;1;16;2;2;0;0;0;0;2;0;5;6;11;17;0;0;1;15;4;5;1;10;1;4;0;0;0;9;2;0;3;0;2;1;1;2;2;0;0;3;2;0;1;0;1;0;1;0;2;0;0;3;0;0;0;3;0;1;4;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0
2;7;9;0;2;4;3;1;0;4;0;0;2;8;3;0;0;0;0;0;0;0;0;0;7;3;1;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;4;0;2;2;2;0;0;1;1;0;0;2;2;1;0;0;0;1;1;0;0;1;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;23;12;3;0;7;5;3;0;9;0;0;0;10;1;2;0;0;1;0;0;1;1;1;6;3;3;0;6;2;0;1;0;0;0;1;0;0;2;0;0;1;2;4;0;0;0;2;2;0;0;1;0;0;0;0;0;2;1;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;15;5;1;3;4;4;4;0;5;1;0;1;6;2;2;1;2;0;1;1;0;3;1;4;2;1;0;3;0;1;1;1;0;0;0;0;1;0;0;0;0;2;2;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;98;60;15;9;19;32;15;3;60;7;8;4;36;8;16;0;2;0;7;7;2;7;1;34;22;6;2;30;2;3;9;1;6;1;0;0;2;0;0;3;7;3;19;0;1;2;7;8;0;1;9;1;4;0;0;1;8;2;0;2;0;2;3;4;1;0;0;0;0;3;0;0;1;0;0;1;1;0;0;0;0;0;2;1;1;0;2;2;1;1;2;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;0;2;2;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1
7;42;23;5;5;8;12;6;0;20;2;4;1;8;2;6;0;1;0;3;5;2;1;0;14;5;1;0;8;3;0;8;2;0;0;0;2;0;0;0;3;2;4;7;0;1;0;3;1;1;1;2;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;2;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;5;1;0;1;0;0;2;0;3;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;8;2;3;0;4;5;3;1;4;0;0;0;3;0;2;0;0;0;0;1;0;1;0;1;2;0;0;2;0;0;2;1;0;0;0;0;0;0;0;1;0;1;4;0;0;0;4;0;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
