1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21
1;10;1;0;0;0;2;1;1;1;0;0;1;1;0;0;0;0;0;0;0;0
2;15;12;1;1;13;23;1;0;3;4;5;1;1;3;0;2;0;0;0;0;0
3;93;21;20;2;9;13;6;3;4;2;2;4;1;4;0;0;1;1;0;1;1
4;18;18;2;4;4;4;3;3;13;3;3;6;1;5;0;1;0;0;0;0;0
5;6;5;2;1;1;3;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0
6;1;0;1;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0
7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;2;4;1;1;0;2;0;0;1;2;0;2;1;0;0;1;0;0;1;0;0
9;6;3;0;1;10;14;1;1;2;6;4;0;1;1;0;0;0;0;0;0;0
10;1;1;2;0;1;2;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
