1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;56;25;26;26;64;7;8;23;28;12;25;0;1;4;1;4;0;1;1;0
2;4;2;5;7;2;0;0;0;1;1;2;0;0;0;0;0;0;0;0;1
3;6;2;2;1;7;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0
4;10;1;2;2;16;4;1;1;2;0;0;0;0;1;0;0;0;0;0;0
5;15;6;10;4;11;2;0;6;3;5;3;0;0;4;0;0;0;0;0;0
6;1;1;1;0;0;0;0;1;1;1;2;0;0;0;0;0;1;0;0;0
7;2;0;1;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2;1;0;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
