1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;18;20;8;27;9;15;5;0;5;5;10;15;0;1;0;0;1;0;1;0;0;1;0;1
2;4;9;5;10;4;5;4;0;0;3;6;9;0;0;0;0;0;0;0;1;0;0;0;0
3;2;9;2;4;1;4;0;0;0;1;3;4;1;0;0;0;0;0;0;0;0;0;0;0
4;2;3;0;4;1;3;1;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;6;3;4;1;4;4;0;0;0;2;3;0;0;0;0;0;0;0;0;0;0;0;0
6;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
7;0;0;1;2;1;0;1;0;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0
8;2;6;1;5;1;2;1;1;1;1;3;4;0;0;1;0;0;0;0;0;0;0;0;0
9;0;4;2;3;1;4;1;0;3;2;11;4;0;0;0;1;0;0;0;0;0;0;0;0
10;3;7;2;4;1;3;2;0;1;0;4;2;0;0;0;0;0;0;0;0;0;0;1;0
11;1;1;1;0;0;1;0;0;0;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0
12;4;10;1;2;1;2;3;0;0;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0
13;3;4;0;1;0;4;0;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0
14;0;1;1;1;0;1;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;2;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
16;2;1;0;1;0;0;1;0;1;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
17;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;1;0;0;0;0;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
20;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
27;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
