1;2;3;4;5;6;7;8;9;10;11;12;13
1;1;1;1;7;2;2;1;0;1;0;0;0;0
2;10;4;23;20;14;8;3;1;3;0;0;0;0
3;17;6;18;45;18;9;4;7;8;1;0;1;1
4;4;0;2;4;1;1;0;2;0;0;0;0;0
5;16;3;20;37;11;13;4;6;10;0;0;0;0
6;5;0;3;8;4;4;0;2;0;0;0;0;0
7;0;1;0;0;0;0;0;0;0;0;0;0;0
8;6;2;6;11;5;2;0;5;2;0;1;0;0
9;1;0;2;3;0;2;0;1;0;0;0;0;0
10;0;1;0;0;1;0;0;0;0;0;0;0;0
11;0;0;0;1;0;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0
16;4;1;6;2;2;1;1;3;1;0;0;0;0
17;0;0;0;0;0;1;0;0;0;0;0;0;0
18;0;0;1;0;1;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;1;0;0;0;0;0;0;0;0;0
21;0;0;0;0;1;0;0;0;0;0;0;0;0
22;0;0;0;0;0;1;0;0;0;0;0;0;0
23;0;0;1;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;0;1;0;0;0;0;0;0;0
25;0;0;0;0;0;1;0;0;0;0;0;0;0
26;0;0;0;1;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;1;0;0;0;0;0;0
28;1;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;1;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;1;0;0;0;0;0;0;0;0
31;0;0;0;0;0;1;0;0;0;0;0;0;0
32;0;0;0;0;1;0;0;0;0;0;0;0;0
33;0;0;0;1;0;0;0;0;0;0;0;0;0
34;1;0;1;0;0;0;0;0;0;0;0;0;0
35;0;0;0;1;0;0;0;0;0;0;0;0;0
36;0;0;0;0;0;1;0;0;0;0;0;0;0
37;1;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0;1;0;0;0;0;0;0;0;0;0;0
39;1;0;0;0;0;0;0;0;0;0;0;0;0
