1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112
1;24;107;5;0;14;0;3;18;19;0;1;16;1;13;22;14;18;15;1;2;1;1;1;2;4;3;5;1;1;1;0;0;1;5;0;17;1;0;1;1;0;1;2;0;0;1;0;2;0;2;0;0;2;1;3;0;0;0;0;0;0;1;2;0;1;0;2;1;2;0;0;0;0;0;0;0;0;0;2;1;0;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
2;2;5;0;0;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;10;26;4;0;9;0;1;5;4;0;3;4;0;1;9;2;5;2;2;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;3;1;0;0;0;0;1;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;9;34;0;0;7;0;1;6;3;0;3;2;0;0;5;0;5;3;0;0;1;0;0;0;3;1;2;1;0;1;0;0;0;0;0;3;0;1;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;10;48;2;4;5;0;1;13;4;0;2;4;1;4;13;3;6;3;1;3;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;5;0;0;0;1;1;0;1;1;0;0;0;0;1;0;0;0;0;0;0;2;0;2;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
6;12;68;0;3;13;0;3;13;6;0;2;10;2;4;19;3;17;10;1;0;2;1;0;0;1;1;3;1;1;0;0;0;1;0;0;4;0;0;3;2;0;2;2;3;0;2;0;1;0;0;0;0;0;1;0;3;0;3;0;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;0;0;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
7;1;3;0;0;0;1;2;0;1;0;0;2;0;0;2;0;2;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;15;65;3;4;12;0;1;9;9;0;2;9;0;2;11;3;12;9;2;1;0;1;0;0;2;1;2;1;0;1;0;0;0;1;0;7;1;0;2;0;0;1;1;1;0;2;1;0;0;0;1;0;0;0;0;1;0;0;0;3;0;1;0;0;0;0;0;0;3;1;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
9;4;18;1;1;4;0;0;3;4;0;0;2;1;0;2;0;1;2;1;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
10;0;14;1;0;0;0;0;0;0;1;2;4;0;1;0;0;2;2;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
