1;2;3;4;5;6;7;8;9;10;11
1;85;12;10;4;1;5;9;1;0;0;1
2;5;2;1;1;10;0;3;0;0;0;0
3;39;4;2;0;3;2;6;2;0;0;0
4;1;0;3;0;0;0;0;0;0;0;0
5;55;18;3;1;1;7;4;1;0;1;0
6;6;24;3;0;3;2;2;0;0;0;0
7;34;5;1;1;2;2;8;0;1;0;1
8;4;13;2;0;0;0;2;0;0;0;0
9;0;0;1;0;0;0;0;0;0;0;0
10;0;1;0;0;0;0;0;0;0;0;0
11;8;14;1;0;1;1;2;0;0;0;0
12;0;0;1;0;0;0;0;0;0;0;0
13;10;0;0;0;0;0;3;0;0;0;0
14;0;0;1;0;0;0;0;0;0;0;0
15;1;4;1;0;0;0;0;0;0;0;0
16;1;1;8;1;0;1;0;0;0;0;0
17;0;0;1;0;0;0;0;0;0;0;0
18;0;0;1;0;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0;0;0;0
20;1;1;0;0;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0
22;1;0;0;0;0;0;0;0;0;0;0
23;0;0;1;0;0;0;0;0;0;0;0
24;0;0;1;0;0;0;0;0;0;0;0
25;1;0;0;0;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0
27;0;0;1;0;0;0;0;0;0;0;0
28;0;0;0;0;0;1;0;0;0;0;0
29;1;0;0;0;0;0;0;0;0;0;0
30;0;0;1;0;0;0;0;0;0;0;0
31;1;0;0;0;0;0;0;0;0;0;0
32;1;0;0;0;0;0;0;0;0;0;0
33;0;0;1;0;0;0;0;0;0;0;0
34;0;0;1;0;0;0;0;0;0;0;0
