1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;25;6;4;7;2;1;3;0;0;0;0;0;0;0
2;3;5;21;2;1;0;1;0;0;0;0;0;0;0
3;1;1;5;2;12;0;0;0;0;0;0;0;0;0
4;3;0;3;21;1;2;1;0;0;0;0;0;0;0
5;2;11;7;6;0;1;0;0;0;0;1;0;0;0
6;8;6;5;31;0;4;0;1;0;0;0;0;0;0
7;1;0;3;9;0;1;0;1;0;0;0;0;0;0
8;1;1;2;17;1;0;0;0;0;0;0;0;0;0
9;4;2;26;5;1;0;1;0;0;0;0;0;1;0
10;16;16;14;4;0;1;0;0;0;1;0;1;0;0
11;4;1;12;2;1;0;1;0;0;0;0;0;0;0
12;4;9;10;1;1;0;0;0;1;0;0;0;0;0
13;4;1;5;23;0;3;0;2;0;0;0;0;0;1
14;6;1;2;2;0;0;1;0;0;0;0;0;0;0
15;0;0;3;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;1;0;0;0;0;0;0;0;0;0
17;2;1;3;0;0;0;0;0;0;0;0;0;0;0
18;4;3;1;4;0;0;0;1;0;0;0;0;0;0
19;1;0;1;0;0;1;0;0;0;0;0;0;0;0
20;1;1;2;2;0;0;0;0;0;0;0;0;0;0
21;2;1;0;3;0;0;0;1;0;0;0;0;0;0
22;5;1;0;1;0;0;1;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;1;0;2;0;0;0;0;0;0;0;0;0;0
25;0;0;1;0;0;0;0;0;0;0;0;0;0;0
26;0;0;1;0;0;0;0;0;0;0;0;0;0;0
27;0;1;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;1;0;0;0;0;0;0;0;0;0;0
29;0;0;0;1;0;0;0;0;0;0;0;0;0;0
