1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1;48;80;5;43;0;12;3;2;0;1;7;0;0;1;1;0;1;0;1;0;0;1
2;30;37;7;27;1;0;2;3;1;0;1;0;0;0;0;0;0;0;0;1;1;0
3;14;27;3;12;0;2;0;3;0;0;1;0;1;0;0;1;0;0;0;0;0;0
4;10;16;3;10;0;2;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
5;14;26;2;10;0;2;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;6;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
7;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
