1;2;3;4;5;6;7;8;9;10;11;12
1;38;44;0;4;0;0;1;3;3;1;0;0
2;43;42;0;3;0;1;3;3;1;0;1;0
3;14;9;0;2;0;0;0;1;0;0;0;0
4;33;23;0;4;0;0;0;2;0;2;0;1
5;11;16;0;0;0;0;0;1;0;0;0;0
6;11;3;0;0;0;0;0;0;0;0;0;0
7;5;3;0;0;0;0;0;0;0;0;0;0
8;14;8;0;2;0;0;2;1;1;0;0;0
9;3;5;1;2;0;0;0;0;0;0;0;0
10;0;1;0;0;0;0;0;0;0;0;0;0
11;5;3;0;0;0;0;0;0;0;0;0;0
12;2;6;0;0;0;0;0;0;0;1;0;0
13;8;11;0;1;0;0;1;1;0;0;0;0
14;1;2;0;0;1;0;0;1;0;0;0;0
15;5;8;0;0;0;0;0;0;0;0;0;0
16;2;0;0;0;0;0;0;0;0;0;0;0
17;2;2;0;0;0;0;0;0;1;0;0;0
18;7;7;0;2;0;0;1;1;0;1;0;0
19;3;2;0;0;0;0;0;0;0;0;0;0
20;2;2;0;0;0;0;0;1;0;0;0;0
21;0;1;0;0;0;0;0;0;0;0;0;0
22;3;3;0;0;0;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;0;0
24;3;0;0;0;0;0;0;0;0;0;0;0
25;1;0;0;0;0;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0;0
27;1;0;0;0;0;0;0;0;0;0;0;0
28;0;1;0;0;0;0;0;0;0;0;0;0
29;1;0;0;0;0;0;0;0;0;0;0;0
30;0;1;0;0;0;0;0;0;0;0;0;0
31;0;1;0;0;0;0;0;0;0;0;0;0
32;0;1;0;0;0;0;0;0;0;0;0;0
33;0;1;0;0;0;0;0;0;0;0;0;0
34;0;1;0;0;0;0;0;0;0;0;0;0
35;1;0;0;0;0;0;0;0;0;0;0;0
36;1;0;0;0;0;0;0;0;0;0;0;0
37;0;1;0;0;0;0;0;0;0;0;0;0
38;2;1;0;0;0;0;0;0;0;0;0;0
39;1;0;0;0;0;0;0;0;0;0;0;0
40;1;0;0;0;0;0;0;0;0;0;0;0
41;0;1;0;0;0;0;0;0;0;0;0;0
42;0;0;0;1;0;0;0;0;0;0;0;0
43;0;1;0;0;0;0;0;0;0;0;0;0
44;1;0;0;0;0;0;0;0;0;0;0;0
45;1;0;0;0;0;0;0;0;0;0;0;0
46;0;1;0;0;0;0;0;0;0;0;0;0
