1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66
1;77;6;1;19;3;0;9;6;3;0;9;9;1;2;8;1;0;3;1;0;2;2;2;0;0;2;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
2;16;36;6;5;1;0;0;12;7;0;7;0;5;1;0;0;5;1;1;0;1;1;1;0;0;5;2;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0
3;16;4;9;48;2;0;0;2;5;0;16;6;5;1;1;0;2;34;2;0;1;2;4;0;0;1;0;1;2;0;0;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;12;6;6;29;0;0;9;1;5;0;77;8;2;2;11;1;5;5;0;2;0;0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0
5;5;0;3;0;1;0;21;0;3;0;2;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
6;37;9;40;33;25;0;10;9;8;0;18;25;35;1;14;7;8;3;0;2;0;13;5;0;1;6;1;0;0;1;0;2;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
7;7;0;1;3;0;1;1;0;1;0;5;1;2;1;8;22;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;17;6;7;97;3;0;0;2;10;0;15;3;3;0;3;1;3;0;0;0;1;1;3;0;0;1;0;2;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
9;8;0;3;8;3;0;6;0;4;0;13;25;2;0;35;0;0;1;0;0;0;0;4;0;0;0;0;3;0;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0
10;3;3;3;6;0;0;2;0;12;0;1;1;0;2;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
11;2;1;3;7;1;0;0;2;5;1;6;2;1;2;2;0;0;3;0;0;3;1;13;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
