1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36
1;7;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;96;3;8;15;5;0;6;8;2;2;8;6;2;3;5;5;2;17;0;1;1;0;3;3;0;1;1;2;0;0;0;0;0;0;1;0
3;9;0;1;0;0;0;0;0;0;0;1;0;0;0;1;2;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1
4;9;0;2;0;1;0;0;0;0;0;0;0;0;0;2;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;31;0;2;1;0;0;2;1;0;0;0;2;0;0;2;2;1;2;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0
6;41;1;4;5;1;0;3;4;1;0;4;1;1;1;2;4;1;4;0;0;4;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
7;15;0;1;0;0;0;2;1;0;2;2;2;0;0;3;1;0;3;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
8;54;0;5;8;4;0;4;4;0;6;1;1;0;2;2;4;3;5;0;2;1;1;0;2;0;0;0;1;0;0;0;0;0;0;0;0
9;31;0;3;0;0;1;1;1;2;1;0;1;1;2;2;1;1;9;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0
10;3;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;5;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;10;0;1;0;1;0;1;2;0;0;1;0;1;0;1;1;1;2;0;2;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;13;0;0;0;0;0;1;0;0;1;1;0;0;0;1;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;64;1;2;13;5;0;5;6;2;4;4;3;0;0;4;11;3;8;0;0;1;0;0;2;2;0;0;0;1;0;1;0;0;0;0;0
15;11;0;2;0;1;0;2;1;1;1;0;0;0;0;2;1;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;2;0;3;1;0;0;0;2;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;3;0;0;1;0;0;1;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;23;2;1;1;3;0;1;2;2;2;3;0;0;1;1;2;0;2;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;12;0;1;2;1;0;0;1;0;0;1;0;0;0;0;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;7;0;0;2;1;0;0;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
25;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;3;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;6;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
