1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29
1;46;16;36;0;130;43;23;22;3;3;16;8;5;12;3;2;1;0;0;0;4;1;0;0;0;0;1;1;1
2;7;1;1;1;10;5;3;1;0;1;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
3;9;2;14;0;33;11;6;1;1;0;3;4;1;3;0;1;0;0;0;1;1;0;0;1;0;0;0;0;0
4;8;2;3;0;17;6;1;3;0;0;1;2;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
5;11;3;3;0;30;15;13;6;1;1;3;1;2;1;5;1;0;0;0;1;0;0;0;0;0;0;0;0;0
6;4;0;4;0;7;5;1;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;6;5;6;0;10;8;2;1;2;0;1;0;2;1;0;2;0;0;0;1;1;0;0;0;1;0;0;0;0
8;13;4;7;0;31;10;4;0;3;1;3;2;1;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0
9;1;0;1;0;2;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;4;2;6;0;16;6;3;1;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
12;1;0;5;0;2;2;4;1;1;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13;4;1;0;0;11;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;2;2;0;0;6;3;0;1;0;0;2;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
15;7;2;1;0;15;2;2;0;0;0;2;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
16;3;2;2;0;3;3;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;4;0;2;0;3;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;1;0;3;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;3;2;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
28;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
