1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1;104;56;9;3;1;0;11;27;1;0;1;3;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1
2;8;15;31;4;0;1;6;60;0;4;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0
3;0;1;0;5;0;0;1;2;0;0;0;6;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
4;6;3;2;2;0;0;27;4;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0
5;9;1;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;5;3;2;0;0;0;5;4;0;10;0;1;0;0;0;3;0;2;0;0;0;1;0;0;1;1;0;1;0;0;0
7;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;3;3;0;0;0;0;0;1;0;0;0;1;6;0;0;0;0;0;0;0;4;0;2;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
