1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1;180;46;149;13;1;1;1;1;1;1;1;1;1;1;0;0;1;1
2;42;4;31;5;0;0;0;0;0;0;0;0;0;0;1;1;0;0
3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
