1;2;3;4;5;6;7;8;9;10;11
1;62;80;47;16;25;9;4;3;3;0;1
2;0;5;2;1;1;0;0;0;0;0;0
3;6;3;4;0;2;0;0;0;0;0;0
4;33;40;19;15;14;1;4;6;1;1;0
5;2;2;3;2;0;1;0;0;0;0;0
6;9;8;3;3;3;1;0;0;0;0;0
7;1;0;0;0;0;0;0;0;0;0;0
8;0;1;0;0;0;0;0;0;0;0;0
9;5;8;5;0;2;0;0;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0
11;3;3;2;2;1;1;0;1;0;0;0
12;0;1;0;0;0;0;0;0;0;0;0
13;1;0;1;0;0;0;0;0;0;0;0
14;0;0;0;0;1;0;0;0;0;0;0
15;0;0;0;0;1;0;0;0;0;0;0
16;0;1;0;0;1;0;0;0;0;0;0
17;2;0;1;1;1;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0
19;0;1;0;0;0;0;0;0;0;0;0
20;0;1;0;0;0;0;0;0;0;0;0
21;1;1;1;0;0;0;0;0;0;0;0
22;0;0;0;1;0;0;0;0;0;0;0
