1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;11;67;5;4;4;7;0;0;18;1;5;1;0;0;1
2;1;5;3;0;0;1;0;0;1;0;2;0;0;0;0
3;11;61;4;8;6;5;1;1;25;0;3;1;2;1;0
4;1;13;1;1;3;3;0;1;6;0;2;0;0;0;0
5;20;37;4;11;1;4;0;1;9;0;6;0;0;0;0
6;2;17;0;1;2;3;0;0;4;0;1;0;0;0;0
7;4;14;0;1;0;0;0;0;1;0;2;0;0;0;0
8;4;17;2;2;1;3;0;1;7;0;3;1;1;0;0
9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
10;0;0;0;0;1;2;0;0;2;0;0;0;0;0;0
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
19;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
20;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
