1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16
1;3;1;8;3;0;0;0;0;0;0;0;0;0;0;0;0
2;1;2;9;8;1;0;0;0;0;0;0;0;0;0;0;0
3;16;7;38;14;0;0;0;0;0;1;0;0;0;0;0;0
4;10;16;44;19;0;0;0;1;0;0;1;0;0;0;1;0
5;18;16;57;29;0;1;1;0;0;0;1;0;0;1;0;0
6;8;10;36;13;0;0;0;0;0;0;0;1;0;0;0;0
7;7;3;17;8;0;0;0;0;1;0;0;0;0;0;0;0
8;8;5;15;6;0;1;0;0;0;0;0;0;1;0;0;1
9;0;2;7;3;0;0;0;0;0;0;0;0;0;0;0;0
10;0;4;5;3;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
17;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
