1;2;3;4;5;6;7;8;9;10;11;12;13
1;39;9;12;11;4;4;0;0;0;1;1;0;1
2;8;8;44;12;10;3;1;1;0;0;0;0;0
3;2;30;2;9;6;0;0;0;0;0;2;1;0
4;8;18;10;53;12;2;6;0;0;0;1;0;0
5;13;3;12;12;42;6;0;0;0;0;0;0;0
6;0;0;1;0;0;0;0;0;0;0;0;0;0
7;0;0;1;0;0;0;0;0;0;0;0;0;0
8;2;2;0;4;6;0;0;0;0;0;0;0;0
9;0;0;0;0;1;0;0;0;0;0;0;0;0
10;6;18;3;4;5;2;0;0;1;1;4;0;0
11;0;0;0;0;1;0;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0
13;0;1;0;0;0;0;0;0;0;0;0;0;0
14;0;0;1;0;0;0;0;0;0;0;0;0;0
15;0;1;0;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;1;0;0;0;0;0;0;0;0
20;0;1;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;1;0;0;0;0;0;0;0;0
22;1;0;0;0;0;0;0;0;0;0;0;0;0
23;0;0;1;0;0;0;0;0;0;0;0;0;0
24;1;0;0;0;0;0;0;0;0;0;0;0;0
25;0;1;0;0;0;0;0;0;0;0;0;0;0
26;0;0;1;0;0;0;0;0;0;0;0;0;0
27;0;0;0;1;0;0;0;0;0;0;0;0;0
28;1;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;1;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;1;0;0;0;0;0;0
