1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19
1;6;30;1;7;9;2;7;1;2;1;0;3;1;0;0;0;0;0;0
2;1;1;0;0;0;0;1;0;1;0;4;0;0;0;0;0;0;0;1
3;6;7;21;5;2;13;4;9;7;2;1;3;1;0;0;0;0;0;0
4;1;1;3;0;2;0;2;1;5;0;3;0;0;0;0;0;0;0;0
5;7;8;3;2;9;0;26;0;3;0;1;1;4;0;0;0;0;1;0
6;2;0;1;2;1;1;3;0;0;0;0;1;1;0;0;0;1;0;0
7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;4;1;1;0;2;0;4;0;21;0;1;0;0;0;0;0;0;0;0
9;12;1;1;0;6;1;1;0;5;1;0;1;0;0;0;0;0;0;0
10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;0;2;0;0;7;1;0;0;0;0;0;1;0;0;0;0;0;0;0
12;9;1;2;1;3;1;1;1;2;0;0;0;0;0;0;1;0;0;0
13;0;6;0;5;2;0;3;0;2;2;0;2;0;0;0;0;0;0;0
14;3;6;1;2;19;2;2;2;1;0;2;1;0;0;0;0;0;0;0
15;13;2;1;0;3;0;1;1;1;0;0;0;0;0;1;0;0;0;0
16;0;1;0;0;1;0;8;2;1;0;0;0;1;0;0;0;0;0;0
17;4;5;1;0;21;0;1;0;6;0;1;0;0;1;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
22;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
