1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1;2;18;9;0;6;23;36;19;7;7;1;0;0;1;0;1;1
2;0;2;1;0;0;2;1;3;0;1;0;0;0;0;0;0;0
3;0;0;4;0;0;1;4;1;0;1;1;0;0;0;0;0;0
4;2;10;8;1;4;19;27;14;3;3;3;0;1;0;0;0;0
5;3;13;13;2;11;17;26;7;8;8;2;0;0;0;0;0;0
6;0;1;1;0;0;3;3;2;0;0;0;0;0;0;0;0;0
7;1;7;5;2;4;19;11;6;0;6;1;0;0;0;1;0;0
8;2;5;5;0;6;4;6;3;0;1;0;1;0;0;0;0;0
9;1;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0
10;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;1;0;0;1;3;2;1;1;1;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
23;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
27;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
29;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
31;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
