1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22
1;20;6;1;16;5;5;13;1;5;1;11;2;3;7;0;1;0;0;1;0;0;0
2;16;7;3;27;13;4;13;3;4;4;12;1;7;6;0;1;0;0;0;0;1;1
3;7;2;1;11;8;3;9;1;6;5;7;0;2;1;1;1;1;0;1;1;0;0
4;2;1;0;1;3;4;1;1;2;1;6;0;0;1;0;1;0;0;0;0;0;0
5;3;2;0;5;2;1;4;1;2;2;2;0;3;0;0;0;0;0;0;0;0;0
6;14;5;1;18;3;6;15;1;5;1;5;1;4;4;0;0;0;2;1;0;0;1
7;3;1;0;4;1;1;3;0;1;0;4;0;0;1;0;0;0;0;0;0;0;0
8;8;1;1;8;5;0;7;0;2;1;3;1;1;1;0;0;0;0;0;0;0;0
9;0;0;0;0;1;0;2;0;0;0;3;0;1;0;0;1;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
11;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
13;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
