1;2;3;4;5;6;7;8;9;10;11;12;13;14
1;61;2;54;4;21;8;8;3;0;0;1;1;0;0
2;69;8;104;3;20;10;8;4;1;1;0;1;1;0
3;3;1;3;0;0;1;1;0;0;0;0;0;0;0
4;1;1;1;0;0;0;0;0;0;0;0;0;0;0
5;1;0;4;0;0;1;3;0;0;0;0;0;0;0
6;3;2;5;0;0;0;2;0;0;0;0;0;0;0
7;5;2;9;1;1;1;0;1;0;0;0;0;0;0
8;7;1;11;2;3;3;0;0;0;0;0;1;0;0
9;0;0;1;0;0;0;0;0;0;0;0;0;0;0
10;5;0;3;1;0;0;6;0;0;0;0;0;0;0
11;0;0;1;0;0;0;0;0;0;0;0;0;0;1
12;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13;1;0;1;0;0;0;0;0;0;0;0;0;0;0
14;0;0;2;1;0;0;0;0;0;0;0;0;0;0
15;0;0;1;0;0;0;0;0;0;0;0;0;0;0
16;0;0;1;0;0;0;0;0;0;0;0;0;0;0
