1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17
1;35;28;29;48;1;0;0;1;1;0;0;1;0;0;0;1;0
2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;7;10;15;21;0;0;0;0;1;0;0;0;0;0;0;0;0
4;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
5;40;33;27;42;0;1;1;0;2;1;1;0;1;0;0;0;1
6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;2;1;0;4;0;0;0;0;0;0;0;0;0;1;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;3;7;2;7;0;0;0;0;2;0;0;0;0;0;0;0;0
17;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;4;3;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
33;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
39;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
40;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
41;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
42;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
43;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
44;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
45;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
46;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
48;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
49;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
50;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
51;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
52;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
53;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
54;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
55;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
56;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
57;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
58;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
59;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
60;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
61;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
62;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
63;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
64;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
65;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
66;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
67;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
68;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
69;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
70;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
71;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
72;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
73;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
74;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
75;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
76;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
77;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
78;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
79;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
80;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
81;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
82;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
83;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
84;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
86;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
87;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
88;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
89;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
90;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
91;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
92;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
93;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
94;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
95;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
96;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
97;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
98;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
99;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
101;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
102;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
103;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
104;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
105;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
106;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
107;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
108;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
109;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
110;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
111;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
112;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
113;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
114;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
115;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
