1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1;19;2;19;4;35;20;1;11;6;0;1;1;0;0;0;1;0;1
2;3;4;9;4;16;12;0;6;2;0;3;0;0;0;0;0;0;0
3;12;2;15;4;43;13;2;2;2;0;4;2;0;0;0;0;1;0
4;11;2;20;2;28;6;0;7;4;1;1;0;0;0;1;1;0;0
5;3;1;9;0;7;4;0;1;0;0;1;0;0;1;0;0;0;0
6;11;0;7;2;8;7;0;7;2;0;1;1;1;0;0;0;0;0
7;3;0;3;2;6;3;0;3;0;0;0;0;0;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
11;2;0;4;0;5;2;0;2;1;0;1;0;0;0;0;1;0;0
12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;1;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0
14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0
18;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
