1;2;3;4;5;6;7;8;9;10;11;12
1;1;0;0;0;0;0;0;0;0;0;0;0
2;6;0;0;2;0;0;0;0;0;0;0;0
3;104;8;2;7;2;0;1;0;0;0;0;0
4;14;1;0;2;0;0;0;0;0;0;0;0
5;16;2;0;2;0;0;0;0;1;0;0;0
6;126;10;4;9;3;1;1;1;0;0;1;1
7;5;0;0;0;0;0;0;0;0;0;0;0
8;3;4;0;2;0;0;0;0;0;0;0;0
9;9;1;0;11;0;0;0;0;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0;0
11;41;2;0;0;0;0;0;0;0;0;0;0
12;3;0;0;0;0;0;0;0;0;0;0;0
13;6;1;0;0;0;0;0;0;0;0;0;0
14;21;1;0;0;0;0;0;0;0;0;0;0
15;12;15;0;0;0;0;0;0;0;1;0;0
16;6;2;0;1;0;0;0;0;0;0;0;0
17;1;5;0;0;0;0;0;0;0;0;0;0
18;1;0;0;1;0;0;0;0;0;0;0;0
19;3;0;0;0;0;0;0;0;0;0;0;0
20;1;0;0;0;0;0;0;0;0;0;0;0
21;3;1;0;2;0;0;0;0;0;0;0;0
22;1;0;0;0;0;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;0;0
24;1;0;0;0;0;0;0;0;0;0;0;0
25;0;2;0;0;0;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0;0
