1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
1;10;4;0;1;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
2;10;6;0;0;0;3;1;1;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0
3;45;16;1;3;6;0;4;2;2;0;5;4;1;2;0;1;1;0;1;0;0;0;0;1;1
4;14;7;0;1;3;2;2;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0
5;25;14;0;1;5;1;4;0;1;2;3;3;0;2;0;2;0;0;0;0;0;0;0;0;0
6;6;0;0;0;2;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0
7;30;15;0;3;0;3;4;0;0;2;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0
8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;6;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;42;16;1;3;5;5;5;0;1;2;2;4;0;0;0;0;0;1;0;1;0;1;0;0;0
11;15;8;0;1;1;2;2;0;0;1;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0
12;4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;2;2;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0
14;4;3;1;0;1;0;1;1;2;0;0;2;0;1;0;0;0;0;0;0;0;0;0;0;0
15;7;1;0;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
16;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
