1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;74;72;4;3;7;5;10;2;29;3;8;3;7;0;1;0;3;0;1;1;0;0;1;1
2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;2;0;1;0;0;1;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;7;6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0
5;33;36;5;3;10;0;6;2;5;0;5;3;6;1;0;1;1;0;0;0;1;0;0;0
6;7;5;0;0;2;0;0;1;7;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0
7;9;10;2;1;3;0;1;0;6;1;1;0;1;0;0;0;2;0;0;0;0;0;0;0
8;5;8;3;0;1;0;2;0;3;0;2;1;1;0;0;0;1;0;0;0;0;0;0;0
9;4;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;3;3;2;0;0;0;1;0;3;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0
11;0;1;0;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
12;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
