1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20
1;2;5;4;2;1;2;8;8;1;2;1;1;0;0;0;0;1;0;0;0
2;2;8;4;5;2;15;33;20;1;2;4;1;3;4;0;1;0;1;0;1
3;4;14;9;2;1;14;28;27;0;6;6;5;1;2;0;0;0;0;0;0
4;5;3;3;1;4;9;22;16;2;7;1;2;1;1;1;1;0;0;0;0
5;1;12;9;3;3;9;38;22;3;9;4;0;0;4;0;0;0;0;0;0
6;0;0;1;0;1;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0
7;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0
8;0;1;1;1;0;4;7;5;0;1;1;1;0;1;0;2;0;0;0;0
9;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
12;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
