1;2;3;4;5;6;7;8;9
1;21;9;0;0;2;2;0;0;0
2;160;55;15;1;18;14;4;1;1
3;8;2;0;0;2;1;0;0;0
4;7;2;0;0;1;0;0;0;0
5;28;8;1;0;0;0;2;0;0
6;2;1;0;0;0;0;0;0;0
7;1;0;0;0;0;0;0;0;0
8;10;2;0;0;1;1;0;0;0
9;13;6;0;0;0;3;0;0;0
10;6;3;0;0;0;0;1;0;0
11;21;4;0;1;2;1;1;0;0
12;20;6;1;0;0;0;0;0;0
13;6;2;0;0;0;0;1;0;0
14;0;1;0;0;0;0;0;0;0
15;0;0;0;1;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0
17;3;0;0;0;0;0;0;0;0
18;0;1;0;0;0;0;0;0;0
19;3;1;0;0;0;0;0;0;0
20;0;1;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0
22;1;0;0;0;0;0;0;0;0
23;0;1;0;0;0;0;0;0;0
24;1;1;0;0;0;0;0;0;0
25;1;0;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0
