1;2;3;4;5;6;7;8;9;10;11;12;13
1;80;1;22;24;14;0;8;5;0;0;1;0;1
2;74;0;22;19;10;0;3;4;0;0;0;1;0
3;16;0;4;4;2;0;0;2;0;0;0;0;0
4;44;0;13;19;8;1;2;1;0;0;0;0;0
5;27;0;6;7;7;0;5;3;1;1;0;0;0
6;0;0;1;0;0;0;0;0;0;0;0;0;0
7;9;0;5;0;3;0;1;1;0;0;0;0;0
8;1;0;0;0;0;0;0;0;0;0;0;0;0
9;6;0;0;1;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;1;0;0;0;0;0
11;1;0;0;0;0;0;0;0;0;0;0;0;0
12;2;0;0;0;0;0;0;0;0;0;0;0;0
13;1;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;1;0;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0;0;0
