1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31
1;10;67;16;17;7;2;8;7;2;11;6;9;6;4;1;5;3;4;16;9;1;3;0;1;1;0;1;1;0;0;1
2;7;22;8;8;7;1;2;5;1;5;0;1;0;0;0;5;1;0;6;1;1;0;0;0;0;0;0;0;1;0;0
3;9;34;10;13;5;2;1;5;0;5;0;2;1;2;0;2;1;0;2;4;0;2;0;0;0;1;2;0;0;1;0
4;2;4;5;6;3;2;1;1;0;0;0;1;0;0;0;2;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0
5;4;11;4;4;5;1;0;1;0;3;0;1;0;2;0;1;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0
6;1;5;1;2;1;0;0;0;0;2;0;0;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0
7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
11;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
