1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108
1;23;27;23;4;18;2;6;0;6;10;11;0;38;0;7;9;3;17;20;5;8;14;39;0;5;18;18;16;8;1;3;0;4;1;0;2;0;2;2;0;1;0;2;5;1;1;1;1;0;3;0;3;0;2;0;0;2;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;1;0;0;1;1;0;0;0;1;0
2;4;4;5;2;2;0;0;0;0;0;0;0;5;0;2;0;0;0;1;1;1;1;5;1;2;0;0;3;2;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;3;5;10;3;4;0;0;0;0;4;2;0;11;0;4;3;0;5;5;2;3;2;5;0;0;3;1;4;5;0;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;2;0;0;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;3;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
5;8;13;10;3;9;0;2;0;2;9;2;1;15;0;4;4;2;6;8;6;2;6;16;0;2;8;1;11;4;0;2;0;0;1;0;0;0;0;4;0;1;0;0;2;0;1;4;0;2;0;0;1;1;1;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;2;0;2;1;3;0;2;0;3;5;2;0;8;0;2;3;0;3;5;2;0;3;7;0;0;2;2;8;3;0;0;0;1;0;1;0;0;0;1;0;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0
7;2;5;6;0;2;2;0;1;0;1;1;0;5;0;1;2;0;1;2;0;0;1;9;0;0;2;1;3;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;4;10;5;0;7;0;2;0;1;5;3;0;9;0;4;0;0;8;8;3;0;4;16;0;0;1;1;5;2;0;1;1;0;0;1;1;0;1;3;0;1;1;0;5;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;6;12;11;1;9;1;6;0;0;3;3;0;16;1;3;2;0;1;10;2;2;4;26;0;2;7;9;5;3;1;1;0;1;0;1;0;0;1;0;0;0;2;0;1;0;0;1;0;1;2;0;0;0;2;0;0;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;1;2;0;2;0;1;0;1;3;0;0;1;0;1;1;0;1;0;1;1;2;1;0;0;2;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
11;1;1;2;0;2;0;0;0;0;1;2;0;0;0;0;2;0;1;4;0;0;0;4;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;12;12;11;1;17;0;3;2;4;7;3;0;12;0;8;7;2;9;10;3;5;9;21;0;3;6;2;5;6;0;1;1;1;4;1;1;0;1;3;1;1;1;2;3;4;3;5;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
13;5;5;7;0;5;1;2;0;0;2;0;0;3;0;0;0;0;2;5;2;3;3;5;0;0;0;3;3;3;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;2;3;6;0;1;0;1;0;0;2;1;0;4;0;3;2;2;0;0;3;3;1;5;0;0;4;1;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;4;2;2;1;4;0;2;0;2;4;2;0;8;0;2;2;0;4;8;0;1;3;10;0;1;6;2;1;3;0;1;0;1;0;0;0;0;0;1;0;0;0;2;0;0;1;4;0;0;2;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;0;1;0;0;0;0;0;0;2;1;0;0;1;0;0;0;0;0;0;1;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
