1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54
1;8;0;2;2;1;2;1;1;1;0;0;0;1;1;2;1;0;0;0;0;1;1;0;0;4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;75;1;26;61;6;9;15;2;8;1;7;7;6;5;13;10;6;1;1;1;7;6;3;3;44;12;0;14;4;3;5;1;4;1;3;2;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;9;0;7;10;0;4;4;1;2;0;2;1;1;1;1;1;0;0;0;0;0;3;1;0;3;1;0;3;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;0;2;6;0;1;0;0;1;0;1;2;0;0;0;0;0;0;0;0;0;3;0;0;6;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
5;16;0;9;19;4;3;4;1;6;0;5;3;1;1;3;1;1;0;0;0;0;1;1;2;11;2;0;6;2;0;0;0;2;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1
6;1;0;0;2;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;2;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;14;0;4;15;4;3;5;0;0;0;1;3;1;1;3;1;1;0;0;0;4;1;1;0;7;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
8;6;0;4;2;0;2;0;0;1;0;1;0;0;1;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
9;5;1;3;2;1;1;2;0;2;0;0;0;1;0;1;0;0;0;0;1;0;2;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;9;0;2;2;2;1;0;0;0;0;0;0;0;1;0;1;2;0;0;0;0;0;0;1;6;0;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;17;0;5;7;1;3;1;2;3;0;3;1;2;0;0;3;3;0;0;1;3;1;2;1;5;2;0;3;2;2;2;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0
12;9;1;0;3;2;0;1;1;0;0;2;0;0;0;1;2;0;0;0;0;3;1;1;0;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
13;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
