1;2;3;4;5;6;7;8;9;10;11;12;13;14;15
1;67;8;0;11;0;4;5;7;1;1;1;0;0;0;0
2;50;5;0;9;3;3;0;3;0;0;0;0;0;0;0
3;61;4;1;15;2;3;6;0;0;0;2;1;0;0;0
4;7;0;0;3;0;0;0;0;0;0;0;0;0;0;0
5;5;2;0;6;0;0;1;0;0;0;0;0;0;0;1
6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;27;4;0;10;0;3;1;2;0;0;0;0;1;0;0
8;25;7;0;15;2;2;3;2;0;0;0;0;0;1;0
9;14;1;0;3;1;0;0;0;0;0;0;0;0;0;0
10;27;1;0;2;0;0;3;2;0;0;0;0;0;0;0
11;8;1;0;3;0;1;0;1;0;0;0;0;0;0;0
12;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;8;1;0;0;0;1;0;0;0;0;0;0;0;0;0
14;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
21;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
26;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
