1;2;3;4;5;6;7;8;9;10
1;3;4;12;3;11;8;1;5;0;0
2;5;12;18;5;15;5;6;4;0;0
3;15;22;33;6;36;17;5;11;0;1
4;2;5;7;4;9;5;3;6;1;0
5;4;15;14;5;20;5;1;6;0;0
6;0;3;4;0;0;1;1;1;0;0
7;0;0;1;0;0;0;0;0;0;0
8;0;2;6;2;7;7;3;1;0;0
9;5;3;6;0;10;6;1;5;0;0
10;1;2;4;1;1;2;1;1;0;0
11;1;0;5;0;2;1;0;0;0;0
12;0;1;0;0;1;1;0;0;0;0
13;0;0;1;0;0;0;0;0;0;0
14;0;0;0;0;0;1;0;0;0;0
15;0;0;0;0;1;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0
17;0;1;0;0;0;0;0;0;0;0
18;1;0;0;0;0;0;0;0;0;0
19;0;0;0;0;1;0;0;0;0;0
20;0;0;1;0;0;0;0;0;0;0
21;0;0;0;0;0;0;0;1;0;0
22;0;0;1;0;0;0;0;0;0;0
23;0;0;0;0;0;0;1;0;0;0
24;0;0;0;0;1;0;0;0;0;0
25;0;0;0;0;0;0;0;1;0;0
26;0;0;1;0;0;0;0;0;0;0
27;0;0;0;0;0;0;0;1;0;0
28;0;0;0;0;1;0;0;0;0;0
29;0;0;0;0;0;1;0;0;0;0
30;0;0;0;0;1;0;0;0;0;0
31;0;0;1;0;0;0;0;0;0;0
32;1;0;0;0;0;0;0;0;0;0
33;0;1;0;0;0;0;0;0;0;0
34;0;0;1;0;0;0;0;0;0;0
35;0;0;0;0;0;0;0;1;0;0
36;0;0;1;0;0;0;0;0;0;0
37;0;0;0;0;1;0;0;0;0;0
