1;2;3;4;5;6;7;8;9;10;11;12;13
1;16;25;2;0;0;3;2;1;0;0;0;0;0
2;67;91;7;0;0;22;8;0;0;1;0;1;1
3;36;26;2;0;0;7;2;0;0;0;0;0;0
4;3;1;0;1;0;0;0;0;0;0;0;0;0
5;16;18;1;0;0;12;2;0;0;0;0;0;0
6;30;45;2;0;1;11;3;0;1;0;0;0;0
7;6;5;1;0;0;1;1;0;1;0;0;0;0
8;0;1;0;0;0;0;0;0;0;0;0;0;0
9;1;0;0;0;0;0;0;0;0;0;0;0;0
10;1;0;0;0;0;0;0;0;0;0;0;0;0
11;1;0;0;0;0;0;0;0;0;0;0;0;0
12;2;4;0;0;0;2;0;0;0;0;1;0;0
13;0;0;0;0;0;1;0;0;0;0;0;0;0
14;1;0;0;0;0;0;0;0;0;0;0;0;0
15;1;0;0;0;0;0;0;0;0;0;0;0;0
16;1;0;0;0;0;0;0;0;0;0;0;0;0
17;0;0;0;0;0;1;0;0;0;0;0;0;0
