1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
1;3;8;1;3;3;2;0;2;3;1;2;1;2;2;1;1;1;0;0;0;0;0;0;0
2;9;29;0;6;11;2;2;3;7;2;5;6;14;3;2;5;1;1;0;0;0;0;0;0
3;2;5;0;2;0;0;0;0;0;1;1;0;3;0;0;0;1;0;0;0;0;0;0;0
4;3;15;0;5;8;0;2;2;4;1;1;1;9;3;4;2;1;3;0;1;0;0;0;2
5;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;6;12;0;2;2;1;2;0;3;2;0;1;3;0;2;1;0;0;0;0;3;0;0;0
8;6;8;2;5;7;0;3;1;4;1;3;1;8;0;2;3;1;2;0;0;2;0;0;0
9;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;2;7;1;4;4;0;0;2;2;0;3;2;3;0;0;1;0;0;0;0;1;0;0;1
11;1;7;0;1;4;0;0;0;3;0;0;0;2;0;1;0;1;0;1;0;0;0;0;0
12;0;1;0;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0
13;3;2;0;1;1;0;2;2;2;1;2;0;1;0;2;1;0;1;0;0;0;0;0;0
14;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;2;0;0;1;1;0;0;3;2;0;0;0;0;1;0;0;0;0;0;0;1;0;0
16;3;5;0;1;2;0;1;2;3;0;3;0;1;0;0;0;0;1;0;0;0;0;0;0
17;3;5;0;4;6;0;1;1;1;0;0;0;8;1;2;2;0;1;0;0;0;0;0;0
18;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
21;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
22;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
26;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
27;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
28;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
29;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
30;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
31;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
32;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
33;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
34;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
35;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
36;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
37;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
38;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
